School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Martin County School District,2018,https://www.martinschools.org/Page/1,"500 E. Ocean Blvd Stuart, FL 34994",500 E. Ocean Blvd,,Stuart,FL,34994,27.19584,-80.24546,FL,1,Suburb - Large (21),B - Suburban,1201290,"18,994","D - 10,000 - 24,999",38,"2,537.00",15.73%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Maury County Public Schools,2018,http://www.mauryk12.org/,"501 West 8th Street Columbia, TN 38401",501 West 8th Street,,Columbia,TN,38401,35.6137,-87.04086,TN,1,Town - Distant (32),C - Town,4702760,"12,321","D - 10,000 - 24,999",21,"1,602.40",16.24%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
McAllen Independent School District,2017,https://www.mcallenisd.org/,"2000 North 23rd Street McAllen, TX 78501",2000 North 23rd Street,,McAllen,TX,78501,26.2240085,-98.242087,TX,1,City - Midsize (12),A - City,4829670,"24,330","D - 10,000 - 24,999",35,"3,422.87",37.05%,D - 30 percent or more,D - West,Regular LEA
Medford School District 549C,2020,https://www.medford.k12.or.us/,"815 S. Oakdale Ave Medford, OR 97501",815 S. Oakdale Ave,,Medford,OR,97501,42.31606,-122.87329,OR,1,City - Small (13),A - City,4108040,"14,467","D - 10,000 - 24,999",23,"1,513.04",19.05%,B - 10 to 19.99 percent,D - West,Regular LEA
Medway Public Schools,2020,https://www.medwayschools.org/,"45 Holliston Street Medway, MA 02053",45 Holliston Street,,Medway,MA,2053,42.14594,-71.40732,MA,1,Suburb - Large (21),B - Suburban,2507590,"2,222","B - 1,000 - 2,499",4,287.28,2.88%,A - Less than 10 percent,A - Northeast,Regular LEA
Mehlville School District,2017,http://www.mehlvilleschooldistrict.com/,"3120 Lemay Ferry Road St. Louis, MO 63125",3120 Lemay Ferry Road,,St. Louis,MO,63125,38.5139695,-90.3148066,MO,1,Suburb - Large (21),B - Suburban,2920670,"10,154","D - 10,000 - 24,999",17,802.6,5.88%,A - Less than 10 percent,C - Central,Regular LEA
Melissa Independent School District,2017,http://www.melissaisd.org/," 1904 Cooper St. Melissa, TX 75454", 1904 Cooper St.,,Melissa,TX,75454,33.2853,-96.5711,TX,1,Suburb - Midsize (22),B - Suburban,4830120,"2,338","B - 1,000 - 2,499",4,273.8,4.47%,A - Less than 10 percent,D - West,Regular LEA
Menands Union Free School District,2018,https://www.menands.org/,"19 Wards Lane Menands, NY 12204",19 Wards Lane,,Menands,NY,12204,42.6852342,-73.7365646,NY,1,Suburb - Large (21),B - Suburban,3618990,262,"A - Less than 1,000",1,43.39,17.15%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Mercedes Independent School District,2017,https://www.misdtx.net/,"​206 W. Sixth St. Mercedes, TX 78570",​206 W. Sixth St.,,Mercedes,TX,78570,26.14577,-97.91077,TX,1,Suburb - Large (21),B - Suburban,4830250,"5,664","C - 2,500 - 9,999",10,884.93,49.22%,D - 30 percent or more,D - West,Regular LEA
Mercer County Public Schools,2017,http://boe.merc.k12.wv.us/,"1403 Honaker Avenue Princeton, WV 24740",1403 Honaker Avenue,,Princeton,WV,24740,37.366331,-81.1004757,WV,1,Town - Distant (32),C - Town,5400840,"9,366","C - 2,500 - 9,999",28,"1,266.17",27.12%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Meriden Public Schools,2018,http://www.meridenk12.org/,"22 Liberty Street Meriden, CT 06450",22 Liberty Street,,Meriden,CT,6450,41.53685,-72.79739,CT,1,Suburb - Large (21),B - Suburban,902400,"7,927","C - 2,500 - 9,999",12,"1,290.29",18.60%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Mesquite Independent School District,2017,https://www.mesquiteisd.org/,"3819 Towne Crossing Boulevard Mesquite, TX 75150",3819 Towne Crossing Boulevard,,Mesquite,TX,75150,32.81757,-96.63179,TX,1,Suburb - Large (21),B - Suburban,4830390,"40,805","E - 25,000 - 99,999",48,"5,159.73",22.65%,C - 20 to 29.99 percent,D - West,Regular LEA
Miami-Dade County Public Schools,"2017, 2018, 2020",http://www.dadeschools.net/,"1450 Northeast 2nd Avenue Miami, FL 33132",1450 Northeast 2nd Avenue,,Miami,FL,33132,25.78904,-80.19102,FL,5,Suburb - Large (21),B - Suburban,1200390,"357,579","F - 100,000 or more",529,"36,316.00",23.58%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Mid-Prairie Community School District,2020,https://www.mphawks.org/,"1636 Hwy 22 East  Wellman, IA 52356",1636 Hwy 22 East ,,Wellman,IA,52356,41.4674249,-91.827551,IA,1,Rural - Distant (42),D - Rural,1919140,"1,460","B - 1,000 - 2,499",4,213.7,16.66%,B - 10 to 19.99 percent,C - Central,Regular LEA
Middlebury Community Schools,2020,http://www.mcsin-k12.org/,"56853 Northridge Drive Middlebury, IN 46540",56853 Northridge Drive,,Middlebury,IN,46540,41.67053,-85.7261,IN,1,Rural - Fringe (41),D - Rural,1806600,"4,541","C - 2,500 - 9,999",7,631.69,8.10%,A - Less than 10 percent,C - Central,Regular LEA
Middletown Area School District,2020,https://www.raiderweb.org/,"55 West Water Street Middletown, PA 17057",55 West Water Street,,Middletown,PA,17057,40.19833,-76.73186,PA,1,Suburb - Large (21),B - Suburban,4215240,"2,395","B - 1,000 - 2,499",5,352,21.66%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Middletown City (OH) School District,2019,https://www.middletowncityschools.com/,"One Donham Plaza, 4th Floor Middletown, OH 45042","One Donham Plaza, 4th Floor",,Middletown,OH,45042,39.51961,-84.40034,OH,1,Suburb - Small (23),B - Suburban,3904440,"6,319","C - 2,500 - 9,999",10,730.3,24.80%,C - 20 to 29.99 percent,C - Central,Regular LEA
Middletown Public Schools,"2017, 2018",https://www.middletownschools.org/,"311 Hunting Hill Avenue Middletown, CT 06457",311 Hunting Hill Avenue,,Middletown,CT,6457,41.54167,-72.64754,CT,2,City - Small (13),A - City,902490,"4,627","C - 2,500 - 9,999",11,899.09,14.49%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Midway Independent School District,"2016, 2017, 2019",https://www.midwayisd.org/,"13885 Woodway Drive Woodway, TX 76712",13885 Woodway Drive,,Woodway,TX,76712,31.4885,-97.2462,TX,3,City - Midsize (12),A - City,4830640,"7,803","C - 2,500 - 9,999",11,"1,009.00",8.77%,A - Less than 10 percent,D - West,Regular LEA
Milan Special School District,2017,http://www.milanssd.org/,"1165 South Main St Milan, TN 38358",1165 South Main St,,Milan,TN,38358,35.91891,-88.75842,TN,1,Rural - Fringe (41),D - Rural,4702970,"2,065","B - 1,000 - 2,499",3,272.5,20.22%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Milford Central School District,2019,http://www.web.milfordcentral.org/home,"42 W. Main St Milford, NY  13807",42 W. Main St,,Milford,NY,13807,42.58995,-74.95165,NY,1,Rural - Distant (42),D - Rural,3619350,380,"A - Less than 1,000",1,112.24,12.66%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Miller Place School District,2019,https://www.millerplace.k12.ny.us/,"7 Memorial Drive Miller Place, NY 11764",7 Memorial Drive,,Miller Place,NY,11764,40.9349,-72.98848,NY,1,Suburb - Large (21),B - Suburban,3619410,"2,708","C - 2,500 - 9,999",4,398,3.22%,A - Less than 10 percent,A - Northeast,Regular LEA
Milpitas Union High School District,2020,https://www.musd.org/,"1331 East Calaveras Boulevard Milpitas, CA 95035",1331 East Calaveras Boulevard,,Milpitas,CA,95035,37.43596,-121.88332,CA,1,City - Small (13),A - City,624500,"10,318","D - 10,000 - 24,999",14,795.24,6.59%,A - Less than 10 percent,D - West,Regular LEA
Mineola Public Schools,2019,http://www.mineola.k12.ny.us/,"121 Jackson Avenue Mineola, NY 11501",121 Jackson Avenue,,Mineola,NY,11501,40.74701,-73.64011,NY,1,Suburb - Large (21),B - Suburban,3619500,"2,872","C - 2,500 - 9,999",5,506.27,5.76%,A - Less than 10 percent,A - Northeast,Regular LEA
Mission Consolidated Independent School District,2017,https://www.mcisd.net/,"1201 Bryce Drive Mission, TX 78572",1201 Bryce Drive,,Mission,TX,78572,26.218,-98.31002,TX,1,City - Small (13),A - City,4831040,"15,765","D - 10,000 - 24,999",24,"2,272.23",42.22%,D - 30 percent or more,D - West,Regular LEA
Mitchell County Schools,2020,http://www.mcsnc.org/,"72 Ledger School Road Bakersville, NC  28705",72 Ledger School Road,,Bakersville,NC,28705,35.96566,-82.11533,NC,1,Rural - Distant (42),D - Rural,3703000,"1,855","B - 1,000 - 2,499",7,292.79,22.78%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Mobile County Public Schools ,"2019, 2020",https://www.mcpss.com/,"1 Magnum Pass Mobile, AL 36618",1 Magnum Pass,,Mobile,AL,36618,30.72123,-88.22329,AL,2,City - Midsize (12),A - City,102370,"56,628","E - 25,000 - 99,999",90,"7,031.41",29.37%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Modesto City Schools,"2016, 2017",https://www.mcs4kids.com/district,"426 Locust St Modesto, CA 95351",426 Locust St,,Modesto,CA,95351,37.63913,-121.01254,CA,2,City - Midsize (12),A - City,625150,"15,100","D - 10,000 - 24,999",9,"1,290.14",15.96%,B - 10 to 19.99 percent,D - West,Regular LEA
Molalla River School District,2020,https://www.molallariv.k12.or.us/,"412 S. Sweigle Ave Molalla, OR 97038",412 S. Sweigle Ave,,Molalla,OR,97038,45.14436,-122.57652,OR,1,Town - Fringe (31),C - Town,4108310,"2,814","C - 2,500 - 9,999",8,297.42,10.27%,B - 10 to 19.99 percent,D - West,Regular LEA
Moline-Coal Valley School District No. 40,2019,https://www.molineschools.org/,"1619 11th Avenue Moline, IL 61265",1619 11th Avenue,,Moline,IL,61265,41.50199,-90.51258,IL,1,City - Small (13),A - City,1726400,"7,230","C - 2,500 - 9,999",15,763.35,15.20%,B - 10 to 19.99 percent,C - Central,Regular LEA
Monroe City Schools,2019,https://www.mcschools.net/,"2006 Tower Dr Monroe, LA 71201",2006 Tower Dr,,Monroe,LA,71201,32.52496,-92.10767,LA,1,City - Small (13),A - City,2201080,"8,350","C - 2,500 - 9,999",19,"1,617.42",41.46%,D - 30 percent or more,B - Southeast,Regular LEA
Monroe County School District,2018,https://fl02202360.schoolwires.net/,"241 Trumbo Road Key West, FL 33040",241 Trumbo Road,,Key West,FL,33040,24.5637,-81.7981,FL,1,Town - Remote (33),C - Town,1201320,"8,438","C - 2,500 - 9,999",23,"1,127.33",17.53%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Monroe Township School District,2019,https://www.monroe.k12.nj.us/Page/1,"423 Buckelew Avenue Monroe Township, NJ 08831",423 Buckelew Avenue,,Monroe Township,NJ,8831,40.3294,-74.41133,NJ,1,Rural - Fringe (41),D - Rural,3410500,"6,641","C - 2,500 - 9,999",8,971.68,3.65%,A - Less than 10 percent,A - Northeast,Regular LEA
Monroe-Woodbury Central School District,2019,https://www.mw.k12.ny.us/,"278 Route 32 Central Valley, NY 10917",278 Route 32,,Central Valley,NY,10917,41.33381,-74.12048,NY,1,Suburb - Large (21),B - Suburban,3619650,"7,005","C - 2,500 - 9,999",7,"1,169.46",8.07%,A - Less than 10 percent,A - Northeast,Regular LEA
Monrovia Unified School District,2020,https://www.monroviaschools.net/,"325 E. Huntington Dr. Monrovia, CA 91016",325 E. Huntington Dr.,,Monrovia,CA,91016,34.14082,-117.99575,CA,1,Suburb - Large (21),B - Suburban,625320,"5,442","C - 2,500 - 9,999",11,,12.65%,B - 10 to 19.99 percent,D - West,Regular LEA
Montauk Public Schools,2019,https://www.montaukschool.org/,"50 S. Dorset Dr Montauk, NY 11954",50 S. Dorset Dr,,Montauk,NY,11954,41.03619,-71.95748,NY,1,Town - Distant (32),C - Town,3619710,330,"A - Less than 1,000",1,68.85,7.63%,A - Less than 10 percent,A - Northeast,Regular LEA
Monte Alto Independent School District,2017,https://www.montealtoisd.org/,"25149 1st Street Monte Alto, TX 78538",25149 1st Street,,Monte Alto,TX,78538,26.37354,-97.9771,TX,1,Rural - Fringe (41),D - Rural,4831230,"1,062","B - 1,000 - 2,499",3,153.74,47.16%,D - 30 percent or more,D - West,Regular LEA
Montebello Unified School District,2019,https://montebellousd-ca.schoolloop.com/,"123 S. Montebello Blvd. Montebello, CA 90640",123 S. Montebello Blvd.,,Montebello,CA,90640,34.00962,-118.10849,CA,1,Suburb - Large (21),B - Suburban,625470,"27,398","E - 25,000 - 99,999",29,"2,571.58",23.08%,C - 20 to 29.99 percent,D - West,Regular LEA
Montgomery County Public Schools,"2016, 2017, 2019",https://www.montgomeryschoolsmd.org/,"850 Hungerford Drive Rockville, MD 20850",850 Hungerford Drive,,Rockville,MD,20850,39.09559,-77.15348,MD,4,Suburb - Large (21),B - Suburban,2400480,"156,380","F - 100,000 or more",207,"20,736.73",8.32%,A - Less than 10 percent,A - Northeast,Regular LEA
Montgomery Public Schools,2017,http://www.mps.k12.al.us/,"307 South Decatur Street Montgomery, AL 36104",307 South Decatur Street,,Montgomery,AL,36104,32.37393,-86.30167,AL,1,City - Midsize (12),A - City,102430,"30,667","E - 25,000 - 99,999",55,"2,905.25",26.65%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Monticello Central School District,2018,https://monticelloschools.net/,"237 Forestburgh Road Monticello, NY 12701",237 Forestburgh Road,,Monticello,NY,12701,41.64419,-74.70054,NY,1,Town - Distant (32),C - Town,3619740,"3,002","C - 2,500 - 9,999",5,633.23,28.72%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Montrose County School District RE-1J,2019,https://www.mcsd.org/home,"930 Colorado Avenue Montrose, CO 81402",930 Colorado Avenue,,Montrose,CO,81402,38.4691,-107.87794,CO,1,Town - Distant (32),C - Town,805790,"6,252","C - 2,500 - 9,999",14,689.72,17.08%,B - 10 to 19.99 percent,D - West,Regular LEA
Moore Public Schools,2018,http://www.mooreschools.com/,"1500 Southeast 4th Street Moore, OK 73160",1500 Southeast 4th Street,,Moore,OK,73160,35.33331,-97.46595,OK,1,Suburb - Large (21),B - Suburban,4020250,"23,890","D - 10,000 - 24,999",34,"2,642.69",10.05%,B - 10 to 19.99 percent,D - West,Regular LEA
Moorhead Area Public Schools Independent School District 152 ,2019,https://www.moorheadschools.org/,"2410 14th St. S. Moorhead, MN 56560",2410 14th St. S.,,Moorhead,MN,56560,46.85041,-96.75592,MN,1,Suburb - Midsize (22),B - Suburban,2721420,"6,656","C - 2,500 - 9,999",13,793.64,15.55%,B - 10 to 19.99 percent,C - Central,Regular LEA
Moorpark Unified School District,2017,http://www.mrpk.org/,"5297 Maureen Lane  Moorpark, CA 93021",5297 Maureen Lane ,,Moorpark,CA,93021,34.28215,-118.89677,CA,1,Suburb - Midsize (22),B - Suburban,625690,"6,599","C - 2,500 - 9,999",12,657.49,6.97%,A - Less than 10 percent,D - West,Regular LEA
Moravia Central School District,2019,http://www.moraviaschool.org/,"68 South Main Street Moravia, NY 13118",68 South Main Street,,Moravia,NY,13118,42.70765,-76.41895,NY,1,Rural - Distant (42),D - Rural,3619800,"1,022","B - 1,000 - 2,499",2,158.94,18.73%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Morehouse Parish Schools,2019,http://www.mpsb.us/,"4099 Naff Avenue Bastrop, LA 71220",4099 Naff Avenue,,Bastrop,LA,71220,32.75891,-91.95663,LA,1,Town - Distant (32),C - Town,2201110,"4,079","C - 2,500 - 9,999",7,402.58,38.98%,D - 30 percent or more,B - Southeast,Regular LEA
Morgan County School District,2017,https://www.morgank12.org/,"235 Highway 67 South Decatur, AL 35603",235 Highway 67 South,,Decatur,AL,35603,34.5288759,-86.9000357,AL,1,Rural - Distant (42),D - Rural,102480,"7,757","C - 2,500 - 9,999",19,886.04,17.88%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Morris Jeff Community School,2019,https://www.morrisjeffschool.org/,"211 S Lopez St New Orleans, LA 70119",211 S Lopez St,,New Orleans,LA,70119,29.96776,-90.09349,LA,1,City - Large (11),A - City,2200203,738,"A - Less than 1,000",1,87.71,,E - N/A,B - Southeast,Charter
Morton District 709,2017,http://www.morton709.org/home,"1050 S Fourth Ave #200 Morton, IL 61550",1050 S Fourth Ave #200,,Morton,IL,61550,40.59999,-89.45865,IL,1,Suburb - Large (21),B - Suburban,1726800,"2,981","C - 2,500 - 9,999",7,438.42,4.18%,A - Less than 10 percent,C - Central,Regular LEA
Moses Lake School District,2019,https://www.mlsd161.org/,"1620 S. Pioneer Way Moses Lake, WA 98837",1620 S. Pioneer Way,,Moses Lake,WA,98837,47.11124,-119.25927,WA,1,Town - Remote (33),C - Town,5305220,"8,674","C - 2,500 - 9,999",16,754.69,15.21%,B - 10 to 19.99 percent,D - West,Regular LEA
Mount Healthy City Schools,2017,https://www.mthcs.org/,"7615 Harrison Avenue Mount Healthy, OH 45231",7615 Harrison Avenue,,Mount Healthy,OH,45231,39.23348,-84.5506,OH,1,Suburb - Large (21),B - Suburban,3904441,"3,368","C - 2,500 - 9,999",4,430.47,27.90%,C - 20 to 29.99 percent,C - Central,Regular LEA
Mountain View Los Altos Union High School District,2020,https://www.mvla.net/,"1299 Bryant Avenue  Mountain View, CA 94040 ",1299 Bryant Avenue ,,Mountain View,CA,94040,37.35912,-122.06708,CA,1,Suburb - Large (21),B - Suburban,626310,"4,304","C - 2,500 - 9,999",3,,3.19%,A - Less than 10 percent,D - West,Regular LEA
Mt. Diablo Unified School District,"2017, 2018, 2020",http://www.mdusd.org/,"1936 Carlotta Drive Concord, CA 94519",1936 Carlotta Drive,,Concord,CA,94519,37.9872085,-122.0063245,CA,4,Suburb - Large (21),B - Suburban,626370,"32,005","E - 25,000 - 99,999",52,"2,754.02",10.04%,B - 10 to 19.99 percent,D - West,Regular LEA
Mt. Zion Community Unit School District #3,"2018, 2019",https://www.mtzschools.org/,"1595 W. Main Street Mt. Zion, IL 62549",1595 W. Main Street,,Mt. Zion,IL,62549,39.77498,-88.89323,IL,2,Suburb - Small (23),B - Suburban,1727390,"2,527","C - 2,500 - 9,999",5,,8.34%,A - Less than 10 percent,C - Central,Regular LEA
Munday Consolidated Independent School District,2017,https://www.mundaycisd.net/,"811 West D Street  Munday, TX 76371",811 West D Street ,,Munday,TX,76371,33.45135,-99.62949,TX,1,Rural - Remote (43),D - Rural,4831970,396,"A - Less than 1,000",2,70.38,31.53%,D - 30 percent or more,D - West,Regular LEA
Mupu School District,2017,http://www.mupu.k12.ca.us/,"4410 N. Ojai Road Santa Paula, CA 93060",4410 N. Ojai Road,,Santa Paula,CA,93060,34.3862454,-119.0717934,CA,1,City - Midsize (12),A - City,626460,584,"A - Less than 1,000",1,28.15,18.99%,B - 10 to 19.99 percent,D - West,Regular LEA
Muscatine Community School District,2020,http://www.muscatine.k12.ia.us/,"2900 Mulberry Ave. Muscatine, IA 52761",2900 Mulberry Ave.,,Muscatine,IA,52761,41.44257,-91.06785,IA,1,Town - Distant (32),C - Town,1920130,"5,001","C - 2,500 - 9,999",10,705.19,16.04%,B - 10 to 19.99 percent,C - Central,Regular LEA
Nacogdoches Independent School District,2020,http://www.nacisd.org/,"420 S Shawnee St Nacogdoches, TX 75961",420 S Shawnee St,,Nacogdoches,TX,75961,31.59674,-94.64764,TX,1,Town - Remote (33),C - Town,4832090,"6,315","C - 2,500 - 9,999",10,,27.98%,C - 20 to 29.99 percent,D - West,Regular LEA
Nampa School District 131,"2018, 2019",https://www.nsd131.org/,"619 South Canyon Street Nampa, ID 83686",619 South Canyon Street,,Nampa,ID,83686,43.56293,-116.57919,ID,2,Suburb - Midsize (22),B - Suburban,1602340,"15,617","D - 10,000 - 24,999",26,"1,189.68",16.10%,B - 10 to 19.99 percent,D - West,Regular LEA
Napa Valley Unified School District,2020,https://www.nvusd.k12.ca.us/,"2425 Jefferson Street Napa, CA 94558",2425 Jefferson Street,,Napa,CA,94558,38.30873,-122.29694,CA,1,City - Small (13),A - City,626640,"17,580","D - 10,000 - 24,999",29,"1,677.17",8.12%,A - Less than 10 percent,D - West,Regular LEA
Naperville Community Unit School District 203,2019,https://www.naperville203.org/Page/1,"203 West Hillside Road Naperville, IL 60540",203 West Hillside Road,,Naperville,IL,60540,41.76727,-88.15524,IL,1,City - Midsize (12),A - City,1727710,"16,711","D - 10,000 - 24,999",22,"2,366.52",4.07%,A - Less than 10 percent,C - Central,Regular LEA
Naples Central School District,2019,http://www.naplescsd.org/,"136 North Main Street Naples, NY 14512",136 North Main Street,,Naples,NY,14512,42.61783,-77.40092,NY,1,Rural - Distant (42),D - Rural,3620220,712,"A - Less than 1,000",2,175.83,16.52%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Natrona County Schools,2018,https://natronaschools.org/,"970 North Glenn Road Casper, WY 82601",970 North Glenn Road,,Casper,WY,82601,42.86049,-106.34017,WY,1,City - Small (13),A - City,5604510,"13,417","D - 10,000 - 24,999",33,0,11.53%,B - 10 to 19.99 percent,D - West,Regular LEA
Nazareth Area School District,2016,https://www.nazarethasd.k12.pa.us/,"One Education Plaza Nazareth, PA 18064",One Education Plaza,,Nazareth,PA,18064,40.74291,-75.29724,PA,1,Suburb - Large (21),B - Suburban,4216380,"4,622","C - 2,500 - 9,999",6,574.35,5.20%,A - Less than 10 percent,A - Northeast,Regular LEA
Neches Independent School District,2017,http://www.nechesisd.com/,"3055 FM 2574 Neches, TX 75779",3055 FM 2574,,Neches,TX,75779,31.86772,-95.49564,TX,1,Rural - Distant (42),D - Rural,4832250,383,"A - Less than 1,000",2,66.27,18.64%,B - 10 to 19.99 percent,D - West,Regular LEA
Neligh-Oakdale Public Schools,2017,http://www.nelighoakdaleschools.com/,"600 J St Neligh, NE 68756",600 J St,,Neligh,NE,68756,42.1307304,-98.0259749,NE,1,Rural - Remote (43),D - Rural,3174220,409,"A - Less than 1,000",3,76.34,18.34%,B - 10 to 19.99 percent,C - Central,Regular LEA
New Diana Independent School District,2017,http://www.ndisd.org/,"1373 US HWY 259 South Diana, TX 75640",1373 US HWY 259 South,,Diana,TX,75640,32.70849,-94.752,TX,1,Rural - Distant (42),D - Rural,4832460,"1,039","B - 1,000 - 2,499",4,133.24,23.10%,C - 20 to 29.99 percent,D - West,Regular LEA
New Hampshire School Administrative District 16,2016,https://www.exeternh.gov/community/school-administrative-unit-16,"30 Linden St Exeter, NH 03833",30 Linden St,,Exeter,NH,3833,42.97465,-70.95745,NH,1,Rural - Fringe (41),D - Rural,3300017,"3,096","C - 2,500 - 9,999",2,423,3.03%,A - Less than 10 percent,A - Northeast,Regular LEA
New Hanover County Schools,2020,https://www.nhcs.net/,"6410 Carolina Beach Road Wilmington, NC 28412",6410 Carolina Beach Road,,Wilmington,NC,28412,34.10567,-77.90078,NC,1,Suburb - Midsize (22),B - Suburban,3703330,"25,952","E - 25,000 - 99,999",42,"3,525.39",19.59%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
New Hartford Central Schools ,2020,https://www.newhartfordschools.org/,"33 Oxford Road New Hartford, NY 13413",33 Oxford Road,,New Hartford,NY,13413,43.07033,-75.28428,NY,1,Suburb - Midsize (22),B - Suburban,3620370,"2,586","C - 2,500 - 9,999",5,361.33,5.46%,A - Less than 10 percent,A - Northeast,Regular LEA
New Haven Public Schools,"2019, 2020",http://www.nhps.net/,"140 Dewitt Street New Haven, CT 06519",140 Dewitt Street,,New Haven,CT,6519,41.29527,-72.93615,CT,2,City - Midsize (12),A - City,902790,"21,883","D - 10,000 - 24,999",40,"3,650.58",28.69%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
New Kent County School District,2019,http://www.newkentschools.org/home,"12003 New Kent Highway New Kent, VA 23124",12003 New Kent Highway,,New Kent,VA,23124,37.51765,-76.97845,VA,1,Rural - Distant (42),D - Rural,5102610,"3,156","C - 2,500 - 9,999",4,434.75,6.99%,A - Less than 10 percent,B - Southeast,Regular LEA
New Mexico Public Education Department,2019,https://webnew.ped.state.nm.us/,"300 Don Gaspar Avenue Santa Fe, NM 87501",300 Don Gaspar Avenue,,Santa Fe,NM,87501,35.68402,-105.94137,NM,1,,E - N/A,,,G - N/A,,,,E - N/A,D - West,SEA
New Trier Township High School District 203,2020,https://www.newtrier.k12.il.us/,"7 Happ Road Northfield, IL 60093",7 Happ Road,,Northfield,IL,60093,42.08941,-87.7647,IL,1,Suburb - Large (21),B - Suburban,1728200,"3,987","C - 2,500 - 9,999",2,,2.85%,A - Less than 10 percent,C - Central,Regular LEA
New York City Department of Education,"2016, 2020",http://schools.nyc.gov/default.htm,"52 Chambers Street New York, NY 10007",52 Chambers Street,,New York,NY,10007,40.71415,-74.00645,NY,4,,E - N/A,,,G - N/A,,,,E - N/A,A - Northeast,Special LEA
Newberg School District,2020,https://www.newberg.k12.or.us/,"714 E. 6TH ST.  Newberg, OR 97132",714 E. 6TH ST. ,,Newberg,OR,97132,45.29488,-122.97264,OR,1,Town - Fringe (31),C - Town,4108720,"5,007","C - 2,500 - 9,999",9,,10.73%,B - 10 to 19.99 percent,D - West,Regular LEA
Newburyport Public Schools,2020,https://www.newburyport.k12.ma.us/,"70 Low St Newburyport, MA 01950",70 Low St,,Newburyport,MA,1950,42.8088,-70.88743,MA,1,Suburb - Large (21),B - Suburban,2508580,"2,232","B - 1,000 - 2,499",4,338.37,5.64%,A - Less than 10 percent,A - Northeast,Regular LEA
Newfane Central School District,2019,http://www.newfane.wnyric.org/Domain/1,"6273 Charlotteville Road Newfane, NY 14108",6273 Charlotteville Road,,Newfane,NY,14108,43.29,-78.69188,NY,1,Rural - Fringe (41),D - Rural,3620760,"1,597","B - 1,000 - 2,499",4,216.71,12.01%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Newfield Central School District,2019,http://www.newfieldschools.org/,"247 Main Street Newfield, NY 14867",247 Main Street,,Newfield,NY,14867,42.36004,-76.59602,NY,1,Rural - Distant (42),D - Rural,3620790,835,"A - Less than 1,000",3,,18.70%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Newhall School District,2020,https://www.newhallschooldistrict.com/nsd,"25375 Orchard Village Road Valencia, CA 91355",25375 Orchard Village Road,,Valencia,CA,91355,34.38958,-118.54808,CA,1,Suburb - Large (21),B - Suburban,627180,"6,539","C - 2,500 - 9,999",10,616.96,12.11%,B - 10 to 19.99 percent,D - West,Regular LEA
Newport School District,2019,http://www.newportsd.org/Page/1,"420 Fickes Lane Newport, PA 17074",420 Fickes Lane,,Newport,PA,17074,40.48344,-77.13779,PA,1,Town - Distant (32),C - Town,4216890,"1,054","B - 1,000 - 2,499",3,197,19.26%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Newton Public Schools,2020,https://www.newton.k12.ma.us/Domain/4,"100 Walnut Street Newton, MA 02460",100 Walnut Street,,Newton,MA,2460,42.35708,-71.2092,MA,2,City - Small (13),A - City,2508610,"12,883","D - 10,000 - 24,999",22,"2,120.10",3.81%,A - Less than 10 percent,A - Northeast,Regular LEA
Newtown Public School District,"2017, 2020",http://www.newtown.k12.ct.us/,"4 Fairfield Circle South Newtown, CT 06470",4 Fairfield Circle South,,Newtown,CT,6470,41.39776,-73.31755,CT,2,Suburb - Midsize (22),B - Suburban,902910,"4,564","C - 2,500 - 9,999",7,833.84,3.38%,A - Less than 10 percent,A - Northeast,Regular LEA
Niles Township High Schools District 219,2020,https://www.niles-hs.k12.il.us/,"7700 Gross Point Rd Skokie, IL 60077",7700 Gross Point Rd,,Skokie,IL,60077,42.02082,-87.77285,IL,2,City - Small (13),A - City,1728530,"4,570","C - 2,500 - 9,999",3,520.67,10.91%,B - 10 to 19.99 percent,C - Central,Regular LEA
